IDVol,DateVol,VilleDepart,VilleArrivee,DistanceVol,DureeVol,Statut,IDAppareil
VOL00062,20221208,Beijing,Toronto,6552.51,9.23,Terminé,A031
VOL00063,20241220,Beijing,Rome,5048.51,7.3,En cours,A019
VOL00064,20230508,Londres,Toronto,3540.12,5.36,Terminé,A017
VOL00065,20221122,Moscou,Beijing,3598.04,5.08,Terminé,A136
VOL00066,20240726,Berlin,Tokyo,5559.08,7.94,En cours,A106
VOL00067,20240208,Rome,Los Angeles,7648.57,10.57,Terminé,A042
VOL00068,20230628,Madrid,Dubaï,3514.42,5.48,En cours,A050
VOL00069,20230317,Hong Kong,New York,8049.43,11.68,Terminé,A064
VOL00070,20231018,Sydney,Londres,2672.74,4.42,En cours,A046
VOL00071,20220416,Rome,Tokyo,6143.72,7.71,Terminé,A047
VOL00072,20230406,Paris,Rome,697.56,2.4,Terminé,A008
VOL00073,20220226,New York,Toronto,352.45,2.42,Terminé,A127
VOL00074,20230930,Berlin,Moscou,998.88,3.01,Terminé,A031
VOL00075,20240323,Madrid,Beijing,5734.81,7.41,Terminé,A085
VOL00076,20230624,Tokyo,Los Angeles,10622.14,14.18,Terminé,A023
VOL00077,20220507,Madrid,Hong Kong,6542.88,9.88,Terminé,A025
VOL00078,20230228,Londres,Dubaï,3398.47,5.13,Terminé,A104
VOL00079,20230928,Moscou,Los Angeles,9047.39,11.38,Terminé,A147
VOL00080,20230303,Hong Kong,Paris,5964.82,7.81,Annulé,A100
VOL00081,20241010,Dubaï,Paris,3255.26,5.39,En cours,A105
VOL00082,20240312,Sydney,Los Angeles,5824.63,8.84,En cours,A098
VOL00083,20240719,Londres,Moscou,1553.78,3.71,Terminé,A122
VOL00084,20221011,Moscou,Tokyo,4665.82,6.16,Terminé,A036
VOL00085,20230618,Dubaï,Toronto,6864.43,9.44,En cours,A088
VOL00086,20221004,Sydney,New York,785.21,1.61,Terminé,A047
VOL00087,20230512,Dubaï,Sydney,6060.5,8.35,Terminé,A025
VOL00088,20230614,Paris,New York,3619.74,6.05,En cours,A080
VOL00089,20240518,Madrid,Tokyo,6708.32,9.52,Terminé,A091
VOL00090,20240319,Dubaï,Rome,2676.65,4.33,Annulé,A046
VOL00091,20240103,Toronto,Londres,3540.12,5.53,Terminé,A111
VOL00092,20230317,Los Angeles,Beijing,11917.58,15.98,Terminé,A065
VOL00093,20221002,Rome,Sydney,3495.8,5.31,Terminé,A128
VOL00094,20241031,Sydney,Dubaï,6060.5,8.7,Terminé,A024
VOL00095,20240928,Dubaï,Moscou,2286.53,3.17,En cours,A048
VOL00096,20220627,Rome,Dubaï,2676.65,3.46,Terminé,A067
VOL00097,20220329,Los Angeles,Singapour,9934.68,12.95,En cours,A103
VOL00098,20220804,Hong Kong,Dubaï,3682.27,5.78,Terminé,A052
VOL00099,20221101,Beijing,Hong Kong,1237.81,2.3,Annulé,A059
VOL00100,20221115,Sydney,Rome,3495.8,5.72,Terminé,A090
VOL00101,20240505,Los Angeles,Toronto,5631.68,8.57,Terminé,A021
VOL00102,20220502,Madrid,Londres,793.57,1.56,En cours,A087
VOL00103,20240219,Berlin,Paris,538.64,0.8,En cours,A116
VOL00104,20240212,Tokyo,Toronto,6395.8,9.18,Terminé,A025
VOL00105,20240807,Paris,Madrid,671.16,1.1,Annulé,A135
VOL00106,20241210,Los Angeles,Tokyo,10622.14,14.01,Terminé,A066
VOL00107,20230521,Beijing,Toronto,6552.51,9.81,En cours,A006
VOL00108,20220115,Londres,Tokyo,5950.38,8.61,Terminé,A016
VOL00109,20220814,Paris,Berlin,538.64,2.2,Annulé,A143
VOL00110,20230622,Hong Kong,Paris,5964.82,8.71,Terminé,A016
VOL00111,20231119,Dubaï,Paris,3255.26,4.83,En cours,A096
VOL00112,20220808,Dubaï,Rome,2676.65,4.2,Annulé,A025
VOL00113,20230816,Berlin,Toronto,4022.74,7.01,Terminé,A044
VOL00114,20240531,Paris,Rome,697.56,1.7,Terminé,A001
VOL00115,20221111,Dubaï,Sydney,6060.5,7.69,Terminé,A136
VOL00116,20240709,Rome,Berlin,732.34,1.4,Terminé,A004
VOL00117,20211229,Sydney,Tokyo,6635.25,8.76,En cours,A002
VOL00118,20230615,Los Angeles,Toronto,5631.68,7.66,En cours,A084
VOL00119,20241013,Dubaï,Rome,2676.65,3.52,Terminé,A099
VOL00120,20221223,Beijing,Londres,5054.25,7.69,Terminé,A079
VOL00121,20241027,Londres,Beijing,5054.25,8.06,En cours,A008
VOL00122,20220728,Tokyo,Sydney,6635.25,8.52,Terminé,A146
VOL00123,20230826,New York,Sydney,785.21,1.32,Terminé,A145
VOL00124,20241027,Londres,Los Angeles,7529.12,10.49,Annulé,A096
VOL00125,20230203,Moscou,Los Angeles,9047.39,11.38,En cours,A018
VOL00126,20221101,Londres,Toronto,3540.12,5.74,Terminé,A045
VOL00127,20240127,Berlin,Rome,732.34,1.76,Annulé,A049
VOL00128,20221118,Sydney,Berlin,3198.94,5.03,Terminé,A128
VOL00129,20241213,Singapour,Berlin,6157.01,8.54,Terminé,A047
VOL00130,20211224,Dubaï,Singapour,3627.21,4.57,Terminé,A138
VOL00131,20231017,Hong Kong,Beijing,1237.81,2.49,Terminé,A056
VOL00132,20240918,Toronto,Hong Kong,7787.98,9.78,Terminé,A089
VOL00133,20220131,Paris,Singapour,6661.5,8.96,Terminé,A025
VOL00134,20220809,Dubaï,Sydney,6060.5,8.72,Terminé,A040
VOL00135,20240105,Londres,Tokyo,5950.38,8.08,Terminé,A096
VOL00136,20230913,Beijing,New York,6811.61,8.71,Terminé,A147
VOL00137,20230427,Singapour,Sydney,9010.03,12.24,En cours,A046
VOL00138,20220420,Dubaï,Tokyo,4960.83,7.58,Terminé,A113
VOL00139,20230430,Madrid,Rome,855.37,1.48,En cours,A046
VOL00140,20220602,Los Angeles,Berlin,8052.31,11.06,Terminé,A130
VOL00141,20220616,Hong Kong,Singapour,1599.0,3.62,Annulé,A039
VOL00142,20240913,Singapour,Berlin,6157.01,9.03,Terminé,A114
VOL00143,20220513,Singapour,Sydney,9010.03,11.6,Terminé,A008
VOL00144,20241217,Tokyo,Los Angeles,10622.14,13.88,Terminé,A010
VOL00145,20220906,Tokyo,Rome,6143.72,9.62,Terminé,A138
VOL00146,20220911,Londres,Paris,208.87,0.66,Annulé,A031
VOL00147,20240822,Beijing,Dubaï,3634.71,5.81,Terminé,A080
VOL00148,20221126,Los Angeles,Moscou,9047.39,13.26,Terminé,A075
VOL00149,20230618,Dubaï,Sydney,6060.5,7.73,Terminé,A028
VOL00150,20241207,Toronto,Madrid,3747.34,6.38,Terminé,A090
VOL00151,20240507,Toronto,Los Angeles,5631.68,7.47,Annulé,A047
VOL00152,20230301,Los Angeles,Tokyo,10622.14,13.81,En cours,A133
VOL00153,20230207,Hong Kong,Dubaï,3682.27,5.2,En cours,A043
VOL00154,20230922,Beijing,Paris,5093.95,7.51,Terminé,A026
VOL00155,20240319,Paris,Beijing,5093.95,7.98,Terminé,A128
VOL00156,20240126,Toronto,Singapour,9306.67,12.88,Terminé,A050
VOL00157,20240607,Toronto,Los Angeles,5631.68,8.96,Terminé,A040
VOL00158,20241116,Los Angeles,Dubaï,9281.76,13.04,Terminé,A087
VOL00159,20240704,Beijing,Rome,5048.51,7.47,Annulé,A117
VOL00160,20220827,Beijing,Londres,5054.25,7.5,Terminé,A141
VOL00161,20230514,Tokyo,Los Angeles,10622.14,13.82,Terminé,A100
VOL00162,20230328,Beijing,Toronto,6552.51,9.32,Terminé,A115
VOL00163,20220503,Londres,New York,3452.99,5.38,En cours,A030
VOL00164,20231115,Singapour,Moscou,5232.45,7.39,Terminé,A142
VOL00165,20220204,Dubaï,Sydney,6060.5,8.27,Terminé,A017
VOL00166,20230408,Hong Kong,Singapour,1599.0,2.15,Annulé,A087
VOL00167,20230319,Rome,Madrid,855.37,2.72,En cours,A064
VOL00168,20220106,Sydney,Londres,2672.74,4.35,Terminé,A094
VOL00169,20220517,Berlin,Sydney,3198.94,4.6,Annulé,A037
VOL00170,20220422,Tokyo,Moscou,4665.82,7.16,Terminé,A062
VOL00171,20230405,Rome,Madrid,855.37,1.7,Terminé,A126
VOL00172,20220510,Paris,Dubaï,3255.26,4.9,Terminé,A049
VOL00173,20220225,New York,Sydney,785.21,1.48,Terminé,A104
VOL00174,20231030,Paris,Tokyo,6038.73,8.58,En cours,A011
VOL00175,20220517,Londres,Beijing,5054.25,7.66,Annulé,A092
VOL00176,20241109,Beijing,Berlin,4570.23,6.81,En cours,A016
VOL00177,20230424,Londres,Los Angeles,7529.12,11.17,Terminé,A123
VOL00178,20230716,Paris,Madrid,671.16,2.09,Terminé,A026
VOL00179,20240912,Sydney,Moscou,3940.11,5.96,Terminé,A134
VOL00180,20230306,Rome,Los Angeles,7648.57,9.93,Terminé,A024
VOL00181,20220919,Paris,New York,3619.74,5.52,Terminé,A083
VOL00182,20240817,Los Angeles,New York,5402.48,8.07,Terminé,A135
VOL00183,20230504,Hong Kong,Sydney,7690.93,11.26,En cours,A145
VOL00184,20240817,Beijing,Moscou,3598.04,6.37,En cours,A148
VOL00185,20240404,Londres,New York,3452.99,4.85,Terminé,A137
VOL00186,20230116,Dubaï,Paris,3255.26,5.34,En cours,A134
VOL00187,20220704,Tokyo,Singapour,3336.77,5.79,Terminé,A101
VOL00188,20220709,Los Angeles,Tokyo,10622.14,14.98,Terminé,A140
VOL00189,20240523,Toronto,Tokyo,6395.8,9.81,Terminé,A052
VOL00190,20231218,Tokyo,Singapour,3336.77,6.04,Terminé,A073
VOL00191,20240508,Hong Kong,Paris,5964.82,8.91,Terminé,A083
VOL00192,20240412,Dubaï,Londres,3398.47,4.37,En cours,A035
VOL00193,20240805,Singapour,New York,9522.43,12.3,En cours,A115
VOL00194,20220412,Singapour,Rome,6219.28,8.7,Terminé,A051
VOL00195,20220712,Los Angeles,Londres,7529.12,9.89,Terminé,A075
VOL00196,20220426,Paris,New York,3619.74,6.02,Annulé,A110
VOL00197,20240326,Paris,Los Angeles,7516.55,10.93,Terminé,A104
VOL00198,20231117,Tokyo,Beijing,1326.77,3.35,Terminé,A112
VOL00199,20220803,Beijing,Moscou,3598.04,5.32,Terminé,A097
VOL00200,20230516,Toronto,Singapour,9306.67,13.35,Terminé,A022
VOL00201,20230119,Hong Kong,Madrid,6542.88,10.0,Terminé,A126
VOL00202,20230116,Tokyo,Moscou,4665.82,7.1,En cours,A007
VOL00203,20240628,Dubaï,Rome,2676.65,5.04,Terminé,A126
VOL00204,20221006,New York,Sydney,785.21,1.52,Terminé,A027
VOL00205,20240505,Singapour,Beijing,2793.35,4.07,Terminé,A083
VOL00206,20230102,Sydney,Toronto,954.64,1.51,Terminé,A144
VOL00207,20230716,Singapour,Beijing,2793.35,4.87,En cours,A124
VOL00208,20240727,Los Angeles,Berlin,8052.31,10.54,Terminé,A100
VOL00209,20230518,New York,Paris,3619.74,5.0,Terminé,A079
VOL00210,20220526,Los Angeles,Hong Kong,11327.82,14.46,En cours,A128
VOL00211,20240617,Toronto,Londres,3540.12,4.48,Terminé,A074
VOL00212,20220711,Moscou,Beijing,3598.04,6.09,Terminé,A015
VOL00213,20220405,Madrid,Toronto,3747.34,5.31,Terminé,A136
VOL00214,20220122,Beijing,New York,6811.61,9.49,En cours,A011
VOL00215,20220702,New York,Paris,3619.74,6.51,Terminé,A049
VOL00216,20230421,Los Angeles,Hong Kong,11327.82,15.0,Terminé,A023
VOL00217,20221128,Berlin,Hong Kong,5426.18,8.59,Terminé,A079
VOL00218,20240403,Los Angeles,Londres,7529.12,9.82,Terminé,A147
VOL00219,20240912,Tokyo,Moscou,4665.82,6.38,Terminé,A139
VOL00220,20240903,Tokyo,Rome,6143.72,7.74,Terminé,A045
VOL00221,20230305,Toronto,Hong Kong,7787.98,11.31,Terminé,A081
VOL00222,20240323,Madrid,Hong Kong,6542.88,8.73,Terminé,A013
VOL00223,20220422,Dubaï,Singapour,3627.21,5.64,Annulé,A137
VOL00224,20221125,Moscou,New York,4659.09,7.11,Terminé,A008
VOL00225,20240207,Rome,Hong Kong,5751.7,7.27,Terminé,A013
VOL00226,20211227,Moscou,Dubaï,2286.53,4.3,En cours,A078
VOL00227,20240301,Los Angeles,Moscou,9047.39,12.87,Terminé,A099
VOL00228,20230619,Tokyo,Paris,6038.73,7.66,Terminé,A049
VOL00229,20240711,Toronto,Los Angeles,5631.68,8.83,Terminé,A091
VOL00230,20230730,Sydney,Tokyo,6635.25,8.92,Terminé,A138
VOL00231,20240507,Toronto,New York,352.45,1.04,Terminé,A014
VOL00232,20240914,Hong Kong,Londres,5970.86,7.59,Terminé,A112
VOL00233,20221105,Hong Kong,Madrid,6542.88,10.09,Terminé,A131
VOL00234,20230115,Beijing,Singapour,2793.35,5.29,Terminé,A135
VOL00235,20230822,Dubaï,Los Angeles,9281.76,12.95,Annulé,A046
VOL00236,20230313,Los Angeles,Dubaï,9281.76,13.37,Terminé,A131
VOL00237,20220421,Londres,Toronto,3540.12,5.22,Terminé,A095
VOL00238,20220426,Moscou,Paris,1537.4,3.6,En cours,A012
VOL00239,20230926,Beijing,Singapour,2793.35,5.18,Terminé,A055
VOL00240,20220419,Singapour,Beijing,2793.35,3.96,En cours,A026
VOL00241,20220404,Tokyo,Berlin,5559.08,8.09,En cours,A118
VOL00242,20240825,Madrid,Sydney,2804.41,4.51,Terminé,A048
VOL00243,20241017,Berlin,Paris,538.64,0.91,Terminé,A057
VOL00244,20241214,Toronto,Tokyo,6395.8,9.32,En cours,A082
VOL00245,20221110,Toronto,New York,352.45,1.6,Annulé,A019
VOL00246,20220418,Berlin,Singapour,6157.01,9.25,En cours,A053
VOL00247,20241028,Tokyo,Berlin,5559.08,8.0,Terminé,A127
VOL00248,20220605,Tokyo,New York,6719.12,9.39,Annulé,A053
VOL00249,20230107,Toronto,Londres,3540.12,4.61,Terminé,A147
VOL00250,20220512,Paris,Sydney,2836.29,4.75,Terminé,A004
VOL00251,20220511,Toronto,New York,352.45,1.99,Terminé,A012
VOL00252,20230418,Beijing,New York,6811.61,9.14,Annulé,A098
VOL00253,20240328,Madrid,Toronto,3747.34,6.35,Terminé,A053
VOL00254,20220825,Singapour,Londres,6740.61,9.9,Terminé,A030
VOL00255,20230511,Dubaï,Sydney,6060.5,9.19,Terminé,A075
VOL00256,20220314,Beijing,Madrid,5734.81,8.66,Terminé,A002
VOL00257,20220608,Paris,Londres,208.87,2.13,Terminé,A062
VOL00258,20240429,Tokyo,Londres,5950.38,7.87,Terminé,A085
VOL00259,20241127,Beijing,Sydney,6474.53,8.31,Terminé,A046
VOL00260,20231001,Los Angeles,Moscou,9047.39,11.74,Terminé,A100
VOL00261,20230610,Hong Kong,Londres,5970.86,8.01,Terminé,A059
VOL00262,20230214,Dubaï,Beijing,3634.71,5.36,En cours,A096
VOL00263,20230927,Beijing,Moscou,3598.04,6.22,En cours,A103
VOL00264,20230425,Londres,Tokyo,5950.38,7.55,Terminé,A012
VOL00265,20230619,Moscou,Sydney,3940.11,5.99,En cours,A040
VOL00266,20240312,Beijing,Toronto,6552.51,9.59,En cours,A037
VOL00267,20220917,New York,Sydney,785.21,1.21,Terminé,A064
VOL00268,20230829,Hong Kong,Madrid,6542.88,9.27,Terminé,A067
VOL00269,20240716,Rome,Toronto,4399.74,6.45,Terminé,A109
VOL00270,20231001,Tokyo,New York,6719.12,8.89,En cours,A147
VOL00271,20220520,Los Angeles,Dubaï,9281.76,12.16,En cours,A080
VOL00272,20220111,Toronto,Moscou,4638.08,7.37,Terminé,A053
VOL00273,20240718,New York,Beijing,6811.61,8.8,Terminé,A070
VOL00274,20220715,Londres,Los Angeles,7529.12,10.36,Terminé,A105
VOL00275,20220522,Los Angeles,Moscou,9047.39,12.04,En cours,A003
VOL00276,20230304,Los Angeles,Rome,7648.57,10.18,Terminé,A107
VOL00277,20241024,Tokyo,Toronto,6395.8,9.29,Terminé,A106
VOL00278,20230619,Moscou,Sydney,3940.11,6.74,Terminé,A097
VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
VOL00280,20231207,New York,Hong Kong,8049.43,11.54,Terminé,A049
VOL00281,20220512,Singapour,New York,9522.43,13.5,Terminé,A125
VOL00282,20230507,Toronto,Tokyo,6395.8,8.1,Terminé,A065
VOL00283,20240118,Moscou,Dubaï,2286.53,4.69,Terminé,A003
VOL00284,20230729,Moscou,Tokyo,4665.82,7.18,Terminé,A102
VOL00285,20221111,Toronto,Sydney,954.64,1.7,Annulé,A011
VOL00286,20240607,Hong Kong,Madrid,6542.88,8.95,Terminé,A115
VOL00287,20230903,Los Angeles,Sydney,5824.63,8.56,Terminé,A033
VOL00288,20241210,Rome,Los Angeles,7648.57,10.96,Terminé,A058
VOL00289,20220108,Paris,Moscou,1537.4,3.73,Terminé,A019
VOL00290,20230828,Berlin,Tokyo,5559.08,8.32,Terminé,A030
VOL00291,20220723,Londres,Sydney,2672.74,4.41,Terminé,A030
VOL00292,20220924,Londres,Beijing,5054.25,6.79,Terminé,A041
VOL00293,20230617,Toronto,Rome,4399.74,6.38,Terminé,A126
VOL00294,20220816,New York,Hong Kong,8049.43,10.08,Terminé,A018
VOL00295,20220730,Los Angeles,Londres,7529.12,11.33,Annulé,A047
VOL00296,20221106,Berlin,Hong Kong,5426.18,8.64,En cours,A138
VOL00297,20230703,Dubaï,Los Angeles,9281.76,13.44,En cours,A084
VOL00298,20230723,New York,Sydney,785.21,1.58,Terminé,A043
VOL00299,20230227,Toronto,Los Angeles,5631.68,8.91,Terminé,A066
VOL00300,20231125,Paris,Singapour,6661.5,9.84,Terminé,A102
VOL00301,20230212,Paris,Los Angeles,7516.55,9.99,Terminé,A073
VOL00302,20230616,Madrid,Singapour,7074.64,10.56,Terminé,A138
VOL00303,20241023,Rome,Dubaï,2676.65,3.67,En cours,A074
VOL00304,20240918,Toronto,Moscou,4638.08,6.68,Terminé,A073
VOL00305,20230521,Madrid,Londres,793.57,1.63,Terminé,A146
VOL00306,20220406,Tokyo,Singapour,3336.77,5.8,Terminé,A067
VOL00307,20220630,Hong Kong,Toronto,7787.98,11.02,Terminé,A028
VOL00308,20240508,Madrid,Los Angeles,6905.71,10.21,Terminé,A031
VOL00309,20230712,Rome,Beijing,5048.51,6.86,Terminé,A102
VOL00310,20220323,Hong Kong,Londres,5970.86,7.62,Terminé,A052
VOL00311,20211230,Madrid,Beijing,5734.81,8.73,Terminé,A023
VOL00312,20231106,Los Angeles,Sydney,5824.63,8.26,Terminé,A143
VOL00313,20220916,Sydney,Londres,2672.74,4.81,Terminé,A128
VOL00314,20230612,Madrid,Dubaï,3514.42,6.25,Terminé,A052
VOL00315,20221118,New York,Dubaï,6829.02,9.2,Terminé,A033
VOL00316,20240614,Singapour,Sydney,9010.03,12.11,Annulé,A133
VOL00317,20240516,Rome,Hong Kong,5751.7,9.03,Terminé,A010
VOL00318,20220111,Dubaï,Toronto,6864.43,8.78,Terminé,A121
VOL00319,20220809,Singapour,Berlin,6157.01,8.02,Terminé,A123
VOL00320,20220526,Beijing,Los Angeles,11917.58,15.42,Terminé,A028
VOL00321,20221024,Moscou,Rome,1478.07,1.98,En cours,A029
VOL00322,20220306,Dubaï,Rome,2676.65,4.19,Terminé,A059
VOL00323,20240118,Moscou,Madrid,2144.38,4.14,Terminé,A010
VOL00324,20221022,Londres,Paris,208.87,1.36,Terminé,A100
VOL00325,20240521,Tokyo,Toronto,6395.8,8.65,Terminé,A048
VOL00326,20220910,Rome,Paris,697.56,2.26,Terminé,A022
VOL00327,20220318,New York,Berlin,3968.08,6.48,Terminé,A018
VOL00328,20230915,Dubaï,Beijing,3634.71,5.83,En cours,A062
VOL00329,20240108,Singapour,Paris,6661.5,8.69,Terminé,A112
VOL00330,20220314,Paris,Sydney,2836.29,4.43,Terminé,A095
VOL00331,20231225,Berlin,Tokyo,5559.08,8.23,Terminé,A113
VOL00332,20230226,Paris,Hong Kong,5964.82,7.46,Terminé,A037
VOL00333,20230518,Los Angeles,Berlin,8052.31,10.47,Terminé,A114
VOL00334,20220721,Berlin,Paris,538.64,1.28,Annulé,A011
VOL00335,20231217,New York,Berlin,3968.08,6.11,Terminé,A129
VOL00336,20240403,New York,Londres,3452.99,4.54,Terminé,A049
VOL00337,20221104,Los Angeles,Londres,7529.12,9.91,Terminé,A054
VOL00338,20230421,Tokyo,Singapour,3336.77,5.6,En cours,A082
VOL00339,20221120,Hong Kong,Los Angeles,11327.82,15.69,Terminé,A012
VOL00340,20221220,Madrid,Paris,671.16,2.14,Terminé,A146
VOL00341,20240415,Tokyo,Dubaï,4960.83,6.46,En cours,A004
VOL00342,20220211,Toronto,Singapour,9306.67,12.82,En cours,A040
VOL00343,20221225,New York,Toronto,352.45,1.26,En cours,A088
VOL00344,20231103,Sydney,Singapour,9010.03,13.14,Terminé,A065
VOL00345,20240414,Hong Kong,Berlin,5426.18,7.69,Terminé,A045
VOL00346,20230515,New York,Hong Kong,8049.43,11.81,En cours,A090
VOL00347,20230622,Los Angeles,Sydney,5824.63,7.55,Terminé,A119
VOL00348,20221114,Beijing,Sydney,6474.53,8.44,En cours,A052
VOL00349,20220801,Beijing,Sydney,6474.53,9.28,En cours,A015
VOL00350,20240214,Hong Kong,Beijing,1237.81,2.2,Annulé,A101
VOL00351,20220312,Rome,Hong Kong,5751.7,7.75,Terminé,A098
VOL00352,20240812,Toronto,Beijing,6552.51,8.36,Terminé,A040
VOL00353,20230323,Paris,Tokyo,6038.73,8.28,Annulé,A075
VOL00354,20230204,Madrid,New York,3578.54,5.26,En cours,A130
VOL00355,20240722,Moscou,Paris,1537.4,2.68,En cours,A017
VOL00356,20231209,Tokyo,Rome,6143.72,9.35,Terminé,A058
VOL00357,20230909,Beijing,Los Angeles,11917.58,16.04,Terminé,A048
VOL00358,20230403,Hong Kong,Tokyo,1840.61,2.34,Terminé,A050
VOL00359,20230324,Madrid,Tokyo,6708.32,8.43,Terminé,A086
VOL00360,20220209,Tokyo,Berlin,5559.08,8.07,En cours,A113
VOL00361,20230122,Paris,Los Angeles,7516.55,10.62,Terminé,A007
VOL00362,20240318,New York,Hong Kong,8049.43,10.52,Terminé,A113
VOL00363,20231026,Los Angeles,Beijing,11917.58,15.07,Terminé,A018
VOL00364,20230716,Londres,Hong Kong,5970.86,8.39,Terminé,A063
VOL00365,20220514,Londres,Sydney,2672.74,3.86,Terminé,A136
VOL00366,20230717,Madrid,Berlin,1166.49,3.16,Annulé,A074
VOL00367,20231212,Toronto,Dubaï,6864.43,8.68,Terminé,A143
VOL00368,20241031,Sydney,Berlin,3198.94,5.23,Terminé,A042
VOL00369,20240320,Toronto,New York,352.45,1.64,En cours,A037
VOL00370,20231101,Hong Kong,Beijing,1237.81,1.85,Terminé,A141
VOL00371,20220217,Toronto,Madrid,3747.34,6.6,Terminé,A082
VOL00372,20220816,Sydney,Beijing,6474.53,8.43,Terminé,A015
VOL00373,20230610,Berlin,Hong Kong,5426.18,7.92,Terminé,A029
VOL00374,20221223,Moscou,Londres,1553.78,1.97,Terminé,A017
VOL00375,20230619,Berlin,Toronto,4022.74,6.08,En cours,A105
VOL00376,20220311,Berlin,New York,3968.08,6.51,En cours,A133
VOL00377,20220802,Londres,Toronto,3540.12,6.28,Terminé,A137
